---------------------------------------------------------------------------------------------																			
引水流量	河道损失流量	支流入黄日均流量过程																	
----------------------	----------------------------------	----------------------------------																	
编号	年	月	日	时间	小花	花夹	夹高	高孙	孙艾	艾泺	泺利	小花	花夹	夹高	高孙	孙艾	艾泺	泺利	
----------------------	----------------------------------	----------------------------------																	
1	2013	6	19	8	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	25
1	2013	6	19	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	25
2	2013	6	20	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	25
3	2013	6	21	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	35
4	2013	6	22	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	35
5	2013	6	23	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	35
6	2013	6	24	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	35
7	2013	6	25	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	35
8	2013	6	26	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	35
9	2013	6	27	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	35
10	2013	6	28	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	35
11	2013	6	29	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	35
12	2013	6	30	24	0	-100	-150	-150	-100	-100	-100	0	-20	-20	-20	-10	-20	-20	35
13	2013	7	1	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
14	2013	7	2	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
15	2013	7	3	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
16	2013	7	4	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
17	2013	7	5	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
18	2013	7	6	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
19	2013	7	7	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
20	2013	7	8	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
21	2013	7	9	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
22	2013	7	10	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
22	2013	7	10	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
22	2013	7	10	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
22	2013	7	10	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
22	2013	7	10	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45
22	2013	7	10	24	0	-50	-70	-50	-20	-40	-40	0	-20	-20	-20	-10	-20	-20	45











1	2013	6	19	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
