-------------------------------------------------------------------------------------------------													
	No	YY	MM	DD	Time	Q	S	Ps					
	0.008	0.016	0.031	0.062	0.125	0.25	0.5						
-------------------------------------------------------------------------------------------------													
11
1	2009	6	11	24	1000	2	0.15	0.1	0.2	0.31	0.18	0.04	0.02
2	2009	6	12	48	3000	2	0.15	0.1	0.2	0.31	0.18	0.04	0.02
3	2009	6	13	72	5000	2	0.15	0.1	0.2	0.31	0.18	0.04	0.02
4	2009	6	14	96	7000	2	0.15	0.1	0.2	0.31	0.18	0.04	0.02
5	2009	6	15	120	8000	2	0.15	0.1	0.2	0.31	0.18	0.04	0.02
6	2009	6	16	144	8000	2	0.15	0.1	0.2	0.31	0.18	0.04	0.02
7	2009	6	17	168	8000	2	0.15	0.1	0.2	0.31	0.18	0.04	0.02
8	2009	6	18	192	6000	2	0.15	0.1	0.2	0.31	0.18	0.04	0.02
9	2009	6	19	216	3000	2	0.15	0.1	0.2	0.31	0.18	0.04	0.02
10	2009	6	20	240	1000	2	0.15	0.1	0.2	0.31	0.18	0.04	0.02
11	2009	6	21	364	1000	2	0.15	0.1	0.2	0.31	0.18	0.04	0.02
